target_lang	template	benchmark	data	instr	matched_diagonal	condition	data_volume	matched_instr_for_this_condition	mean_acc_across_seeds	n_seeds
en	2	xnli	es	ur	n	baseline		n	0.3319	1
en	2	xnli	es	ur	n	condition-1-en-5k	5k	n	0.3191	3
en	2	xnli	es	ur	n	condition-1-en-20k	20k	n	0.3140	1
en	2	xnli	es	zh	n	baseline		n	0.2369	1
en	2	xnli	es	zh	n	condition-1-en-5k	5k	n	0.3463	3
en	2	xnli	es	zh	n	condition-1-en-20k	20k	n	0.2715	1
en	2	xnli	ur	en	n	baseline		n	0.3357	1
en	2	xnli	ur	en	n	condition-1-en-5k	5k	y	0.3330	3
en	2	xnli	ur	en	n	condition-1-en-20k	20k	y	0.3325	1
en	2	xnli	ur	es	n	baseline		n	0.2499	1
en	2	xnli	ur	es	n	condition-1-en-5k	5k	n	0.3744	3
en	2	xnli	ur	es	n	condition-1-en-20k	20k	n	0.3697	1
en	2	xnli	ur	ur	y	baseline		n	0.3228	1
en	2	xnli	ur	ur	y	condition-1-en-5k	5k	n	0.3246	3
en	2	xnli	ur	ur	y	condition-1-en-20k	20k	n	0.3248	1
en	2	xnli	ur	zh	n	baseline		n	0.2078	1
en	2	xnli	ur	zh	n	condition-1-en-5k	5k	n	0.2758	3
en	2	xnli	ur	zh	n	condition-1-en-20k	20k	n	0.2629	1
en	2	xnli	zh	en	n	baseline		n	0.4649	1
en	2	xnli	zh	en	n	condition-1-en-5k	5k	y	0.4415	3
en	2	xnli	zh	en	n	condition-1-en-20k	20k	y	0.4042	1
en	2	xnli	zh	es	n	baseline		n	0.3637	1
en	2	xnli	zh	es	n	condition-1-en-5k	5k	n	0.3677	3
en	2	xnli	zh	es	n	condition-1-en-20k	20k	n	0.3870	1
en	2	xnli	zh	ur	n	baseline		n	0.3341	1
en	2	xnli	zh	ur	n	condition-1-en-5k	5k	n	0.3365	3
en	2	xnli	zh	ur	n	condition-1-en-20k	20k	n	0.3363	1
en	2	xnli	zh	zh	y	baseline		n	0.2491	1
en	2	xnli	zh	zh	y	condition-1-en-5k	5k	n	0.2910	3
