condition	seed	benchmark	data	instr	matched_instr	matched_diagonal	t1_acc	t2_acc	delta_t2_t1	t1_count	t2_count	t1_correct	t2_correct
condition-1-en-5k	42	sib200	en	es	n	n	0.6373	0.4951	-0.1422	204	204	130	101
condition-1-en-5k	42	sib200	en	ur	n	n	0.4755	0.4363	-0.0392	204	204	97	89
condition-1-en-5k	42	sib200	en	zh	n	n	0.6961	0.6520	-0.0441	204	204	142	133
condition-1-en-5k	42	sib200	es	en	y	n	0.7647	0.6520	-0.1127	204	204	156	133
condition-1-en-5k	42	sib200	es	es	n	y	0.6324	0.4951	-0.1373	204	204	129	101
condition-1-en-5k	42	sib200	es	ur	n	n	0.5049	0.3873	-0.1176	204	204	103	79
condition-1-en-5k	42	sib200	es	zh	n	n	0.6275	0.5735	-0.0539	204	204	128	117
condition-1-en-5k	42	sib200	ur	en	y	n	0.6765	0.6569	-0.0196	204	204	138	134
condition-1-en-5k	42	sib200	ur	es	n	n	0.5147	0.5392	+0.0245	204	204	105	110
condition-1-en-5k	42	sib200	ur	ur	n	y	0.5539	0.5392	-0.0147	204	204	113	110
condition-1-en-5k	42	sib200	ur	zh	n	n	0.5441	0.5196	-0.0245	204	204	111	106
condition-1-en-5k	42	sib200	zh	en	y	n	0.7500	0.6667	-0.0833	204	204	153	136
condition-1-en-5k	42	sib200	zh	es	n	n	0.5588	0.5294	-0.0294	204	204	114	108
condition-1-en-5k	42	sib200	zh	ur	n	n	0.5294	0.4951	-0.0343	204	204	108	101
condition-1-en-5k	42	sib200	zh	zh	n	y	0.6618	0.6225	-0.0392	204	204	135	127
condition-1-en-5k	42	xnli	en	en	y	y	0.5206	0.3489	-0.1717	5010	5010	2608	1748
condition-1-en-5k	42	xnli	en	es	n	n	0.4200	0.3880	-0.0319	5010	5010	2104	1944
condition-1-en-5k	42	xnli	en	ur	n	n	0.4206	0.2701	-0.1505	5010	5010	2107	1353
condition-1-en-5k	42	xnli	en	zh	n	n	0.3343	0.3936	+0.0593	5010	5010	1675	1972
condition-1-en-5k	42	xnli	es	en	y	n	0.4657	0.3477	-0.1180	5010	5010	2333	1742
condition-1-en-5k	42	xnli	es	es	n	y	0.4637	0.3768	-0.0868	5010	5010	2323	1888
condition-1-en-5k	42	xnli	es	ur	n	n	0.3489	0.3291	-0.0198	5010	5010	1748	1649
condition-1-en-5k	42	xnli	es	zh	n	n	0.3341	0.3547	+0.0206	5010	5010	1674	1777
condition-1-en-5k	42	xnli	ur	en	y	n	0.4347	0.3325	-0.1022	5010	5010	2178	1666
condition-1-en-5k	42	xnli	ur	es	n	n	0.3828	0.3782	-0.0046	5010	5010	1918	1895
