condition	seed	template	benchmark	data	instr	n	orig_acc	repar_acc	delta_acc	orig_pf	repar_pf	delta_pf
condition-1-en-20k	42	2	csqa	ur	ur	None	0.4000	0.4000	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	ur	zh	None	0.4080	0.4080	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	zh	en	None	0.5410	0.5410	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	zh	es	None	0.5040	0.5040	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	zh	ur	None	0.4750	0.4750	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	csqa	zh	zh	None	0.5370	0.5370	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	sib200	en	en	None	0.6863	0.6863	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	sib200	en	es	None	0.4608	0.4657	+0.0049	0.0098	0.0000	-0.0098
condition-1-en-20k	42	2	sib200	en	ur	None	0.2647	0.4559	+0.1912	0.4363	0.2059	-0.2304
condition-1-en-20k	42	2	sib200	en	zh	None	0.6078	0.6373	+0.0294	0.0441	0.0098	-0.0343
condition-1-en-20k	42	2	sib200	es	en	None	0.6422	0.6422	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	sib200	es	es	None	0.3480	0.4608	+0.1127	0.1225	0.0000	-0.1225
condition-1-en-20k	42	2	sib200	es	ur	None	0.0294	0.4118	+0.3824	0.8284	0.2745	-0.5539
condition-1-en-20k	42	2	sib200	es	zh	None	0.4902	0.5833	+0.0931	0.1520	0.0098	-0.1422
condition-1-en-20k	42	2	sib200	ur	en	None	0.6471	0.6471	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	sib200	ur	es	None	0.3578	0.5196	+0.1618	0.2157	0.0147	-0.2010
condition-1-en-20k	42	2	sib200	ur	ur	None	0.2059	0.5637	+0.3578	0.5637	0.0882	-0.4755
condition-1-en-20k	42	2	sib200	ur	zh	None	0.5049	0.5049	+0.0000	0.0049	0.0098	+0.0049
condition-1-en-20k	42	2	sib200	zh	en	None	0.6324	0.6324	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	2	sib200	zh	es	None	0.3725	0.5196	+0.1471	0.1765	0.0049	-0.1716
condition-1-en-20k	42	2	sib200	zh	ur	None	0.0686	0.4951	+0.4265	0.8529	0.2059	-0.6471
condition-1-en-20k	42	2	sib200	zh	zh	None	0.4853	0.6176	+0.1324	0.1863	0.0245	-0.1618
condition-1-en-20k	42	2	xnli	en	en	None	0.3447	0.3447	+0.0000	0.0004	0.0004	+0.0000
condition-1-en-20k	42	2	xnli	en	es	None	0.3752	0.3752	+0.0000	0.0010	0.0010	+0.0000
condition-1-en-20k	42	2	xnli	en	ur	None	0.2154	0.2493	+0.0339	0.4641	0.3677	-0.0964
condition-1-en-20k	42	2	xnli	en	zh	None	0.1749	0.3271	+0.1523	0.5176	0.2289	-0.2886
condition-1-en-20k	42	2	xnli	es	en	None	0.3441	0.3441	+0.0000	0.0048	0.0048	+0.0000
condition-1-en-20k	42	2	xnli	es	es	None	0.3607	0.3607	+0.0000	0.0012	0.0012	+0.0000
condition-1-en-20k	42	2	xnli	es	ur	None	0.3076	0.3140	+0.0064	0.1770	0.1573	-0.0198
condition-1-en-20k	42	2	xnli	es	zh	None	0.0886	0.2715	+0.1828	0.7649	0.4020	-0.3629
condition-1-en-20k	42	2	xnli	ur	en	None	0.3325	0.3325	+0.0000	0.0060	0.0060	+0.0000
condition-1-en-20k	42	2	xnli	ur	es	None	0.3697	0.3697	+0.0000	0.0066	0.0066	+0.0000
condition-1-en-20k	42	2	xnli	ur	ur	None	0.2898	0.3248	+0.0349	0.1425	0.0435	-0.0990
