condition	target_lang	seed	template	benchmark	data	instr	matched_diagonal	matched_instr	baseline_acc	cond_1_en_5k_acc	cond_acc	delta_vs_baseline	delta_en_finetune_only	delta_language_specific
condition-2-es-5k	es	42	2	csqa	zh	en	n	n	0.5320	0.5323	0.5370	+0.0050	+0.0003	+0.0047
condition-2-es-5k	es	42	2	csqa	zh	es	n	y	0.5100	0.5043	0.5070	-0.0030	-0.0057	+0.0027
condition-2-es-5k	es	42	2	sib200	en	en	y	n	0.7206	0.7092	0.7059	-0.0147	-0.0114	-0.0033
condition-2-es-5k	es	42	2	sib200	en	es	n	y	0.5539	0.5131	0.4853	-0.0686	-0.0408	-0.0278
condition-2-es-5k	es	42	2	sib200	es	en	n	n	0.6765	0.6585	0.6520	-0.0245	-0.0180	-0.0065
condition-2-es-5k	es	42	2	sib200	es	es	y	y	0.5147	0.5000	0.4706	-0.0441	-0.0147	-0.0294
condition-2-es-5k	es	42	2	sib200	ur	en	n	n	0.6814	0.6667	0.6520	-0.0294	-0.0147	-0.0147
condition-2-es-5k	es	42	2	sib200	ur	es	n	y	0.6127	0.5637	0.4363	-0.1765	-0.0490	-0.1275
condition-2-es-5k	es	42	2	sib200	zh	en	n	n	0.6961	0.6716	0.6569	-0.0392	-0.0245	-0.0147
condition-2-es-5k	es	42	2	sib200	zh	es	n	y	0.5588	0.5376	0.5000	-0.0588	-0.0212	-0.0376
condition-2-es-5k	es	42	2	xnli	en	en	y	n	0.3786	0.3565	0.3525	-0.0261	-0.0222	-0.0040
condition-2-es-5k	es	42	2	xnli	en	es	n	y	0.3806	0.3904	0.4126	+0.0319	+0.0097	+0.0222
condition-2-es-5k	es	42	2	xnli	es	en	n	n	0.3661	0.3547	0.3483	-0.0178	-0.0114	-0.0064
condition-2-es-5k	es	42	2	xnli	es	es	y	y	0.3770	0.3766	0.4016	+0.0246	-0.0004	+0.0250
condition-2-es-5k	es	42	2	xnli	ur	en	n	n	0.3357	0.3330	0.3339	-0.0018	-0.0027	+0.0009
